Taste,Odor,Turbidity,Colour,Grade
1,0,0,254,high
0,1,1,253,high
1,1,1,246,low
1,1,1,255,low
0,0,0,255,medium
1,1,1,255,high
1,0,1,250,low
0,1,1,250,low
1,0,1,255,low
1,1,0,247,medium
1,1,0,245,medium
0,1,1,255,low
0,1,1,255,low
1,0,1,255,low
0,1,1,255,high
1,0,0,255,medium
1,0,0,255,low
1,1,1,255,low
1,0,1,250,low
1,0,0,245,medium
0,1,1,250,high
0,0,0,255,medium
0,1,1,255,low
1,1,1,245,high
1,0,0,246,medium
0,1,0,253,high
0,0,0,246,low
0,0,1,240,medium
0,0,0,245,medium
1,0,0,255,high
0,1,0,240,medium
0,1,1,250,low
1,1,1,255,high
1,0,0,247,medium
1,1,0,245,low
0,1,1,255,high
0,1,0,255,low
0,0,0,255,low
0,0,0,255,medium
1,1,1,255,high
0,0,0,255,medium
1,0,0,255,low
1,1,1,248,low
1,1,1,255,high
0,0,1,250,medium
0,0,0,247,medium
0,0,0,255,medium
1,1,0,245,high
1,1,1,255,low
0,0,0,255,medium
1,1,1,255,high
1,0,1,250,low
0,1,1,250,low
1,0,1,255,low
1,1,0,247,medium
1,1,0,245,medium
0,1,1,255,low
0,1,1,255,low
1,0,1,255,low
0,0,0,255,medium
1,0,0,255,medium
1,0,0,255,high
1,1,1,255,low
1,0,1,250,low
0,1,1,255,low
0,0,1,255,medium
0,1,1,255,high
1,0,0,255,medium
1,0,0,255,low
1,1,1,255,low
1,0,1,250,low
1,0,0,245,medium
0,1,1,250,high
0,0,0,255,medium
0,1,1,255,low
1,1,1,245,high
1,0,0,246,medium
0,1,0,253,high
0,0,0,246,low
0,0,1,240,medium
0,0,0,245,medium
1,0,0,255,high
0,1,0,240,medium
0,0,0,255,low
0,0,0,255,medium
1,1,1,255,high
0,0,0,255,medium
1,0,0,255,low
1,1,1,248,low
1,1,1,255,high
0,0,1,250,low
0,0,0,247,medium
0,0,0,255,low
1,1,0,245,high
1,1,1,255,low
0,0,0,255,medium
1,1,1,255,low
0,0,0,255,medium
1,1,1,255,high
1,0,1,250,low
0,1,1,250,low
1,0,1,255,low
1,1,0,247,medium
1,1,0,245,medium
0,1,1,255,low
0,1,1,255,high
1,0,1,255,low
0,0,0,255,low
1,0,0,255,medium
1,0,0,255,high
1,1,1,255,low
1,0,1,250,high
0,1,1,255,low
0,0,1,255,medium
0,1,1,255,high
1,0,0,255,medium
1,0,0,255,high
1,1,1,255,low
1,0,1,250,low
1,0,0,245,medium
0,0,1,250,medium
0,0,0,255,medium
0,0,0,255,medium
1,1,1,245,high
1,0,0,246,low
0,1,0,253,high
0,0,0,246,low
1,0,0,245,medium
0,1,1,250,high
0,0,0,255,medium
0,1,1,255,low
1,1,1,245,high
1,0,0,246,medium
0,1,0,253,high
0,0,0,246,low
0,0,1,240,medium
0,0,0,245,medium
1,0,0,255,high
0,1,0,240,medium
0,0,0,255,low
0,0,0,255,medium
1,1,1,255,high
0,0,0,255,medium
1,0,0,255,low
1,1,1,248,low
1,1,1,255,high
0,0,1,250,low
0,0,0,247,medium
0,0,0,255,low
1,1,0,245,high
1,1,1,255,low
0,0,0,255,medium
1,1,1,255,low
0,0,0,255,medium
1,1,1,255,high
1,0,1,250,low
0,1,1,250,low
1,0,1,255,low
1,1,0,247,medium
1,1,0,245,medium
0,1,1,255,low
0,1,1,255,high
1,0,1,255,low
0,0,0,255,low
1,0,0,255,medium
1,0,0,247,medium
1,1,0,245,low
0,1,1,255,high
0,1,0,255,low
0,0,0,255,low
0,0,0,255,medium
1,1,1,255,high
0,0,0,255,medium
1,0,0,255,low
1,1,1,248,low
1,1,1,255,high
0,0,1,250,medium
0,0,0,247,medium
0,0,0,255,medium
1,1,0,245,high
1,1,1,255,low
0,0,0,255,medium
1,1,1,255,high
1,0,1,250,low
0,1,1,250,low
1,0,1,255,low
1,1,0,247,medium
1,1,0,245,medium
0,1,1,255,low
0,1,1,255,low
1,0,1,255,low
0,0,0,255,medium
1,0,0,255,medium
1,0,0,255,high
1,1,1,255,low
1,0,1,250,low
0,1,1,255,low
0,0,1,255,medium
0,1,1,255,high
1,0,0,255,medium
1,0,0,255,low
1,1,1,255,low
1,0,1,250,low
1,0,0,245,medium
0,0,0,255,medium
1,1,1,255,high
1,0,1,250,low
0,1,1,250,low
1,0,1,255,low
1,1,0,247,medium
1,1,0,245,medium
0,1,1,255,low
0,1,1,255,low
1,0,1,255,low
0,0,0,255,medium
1,0,0,255,medium
1,0,0,255,high
1,1,1,255,low
1,0,1,250,low
0,1,1,255,low
0,0,1,255,medium
0,1,1,255,high
1,0,0,255,medium
1,0,0,255,low
1,1,1,255,low
1,0,1,250,low
1,0,0,245,medium
0,1,1,250,high
0,0,0,255,medium
0,1,1,255,low
1,1,1,245,high
1,0,0,246,medium
0,1,0,253,high
0,0,0,246,low
0,0,1,240,medium
0,0,0,245,medium
1,0,0,255,high
0,1,0,240,medium
0,0,0,255,low
0,0,0,255,medium
1,1,1,255,high
0,0,0,255,medium
1,0,0,255,low
1,1,1,248,low
1,0,0,255,medium
1,0,0,255,high
1,1,1,255,low
1,0,1,250,high
0,1,1,255,low
0,0,1,255,medium
0,1,1,255,high
1,0,0,255,medium
1,0,0,255,high
1,1,1,255,low
1,0,1,250,low
1,0,0,245,medium
0,0,1,250,medium
0,0,0,255,medium
0,0,0,255,medium
1,1,1,245,high
1,0,0,246,low
0,1,0,253,high
0,0,0,246,low
1,0,0,245,medium
0,1,1,250,high
0,0,0,255,medium
0,1,1,255,low
1,1,1,245,high
1,0,0,246,medium
0,1,0,253,high
0,0,0,246,low
0,0,1,240,medium
1,1,1,248,low
1,1,1,255,high
0,0,1,250,low
0,0,0,247,medium
0,0,0,255,low
1,1,0,245,high
1,1,1,255,low
0,0,0,255,medium
1,1,1,255,low
0,0,0,255,medium
1,1,1,255,high
1,0,1,250,low
0,1,1,250,low
1,0,1,255,low
1,1,0,247,medium
1,1,0,245,medium
0,1,1,255,low
0,1,1,255,high
1,0,1,255,low
0,0,0,255,low
1,0,0,255,medium
1,0,0,247,medium
1,1,0,245,low
0,1,1,255,high
0,1,0,255,low
0,0,0,255,low
0,0,0,255,medium
1,1,1,255,high
0,0,0,255,medium
1,0,0,255,low
1,1,1,248,low
1,1,1,255,high
0,0,1,250,medium
0,0,0,247,medium
0,0,0,255,medium
1,1,0,245,high
1,1,1,255,low
0,0,0,255,medium
1,1,1,255,high
1,0,1,250,low
0,1,1,250,low
1,0,1,255,low
1,1,0,247,medium
1,1,0,245,medium
0,1,1,255,low
0,1,1,255,low
1,0,1,255,low
0,0,0,255,medium
1,0,0,255,medium
1,0,0,255,high
1,1,1,255,low
1,0,1,250,low
0,1,1,255,low
0,0,1,255,medium
0,1,1,255,high
1,0,0,255,medium
1,0,0,255,low
1,1,1,255,low
1,0,1,250,low
1,0,0,245,medium
0,0,0,255,medium
1,1,1,255,high
1,0,1,250,low
0,1,1,250,low
1,0,1,255,low
1,1,0,247,medium
1,1,0,245,medium
0,1,1,255,low
0,1,1,255,low
1,0,1,255,low
0,0,0,255,medium
1,0,0,255,medium
1,0,0,255,high
1,1,1,255,low
1,0,1,250,low
0,1,1,255,low
0,0,1,255,medium
0,1,1,255,high
1,0,0,255,medium
1,0,0,255,low
1,1,1,255,low
1,0,1,250,low
1,0,0,245,medium
0,1,1,250,high
0,0,0,255,medium
0,1,1,255,low
1,1,1,245,high
1,0,0,246,medium
0,1,0,253,high
0,0,0,246,low
0,0,1,240,medium
0,0,0,245,medium
1,0,0,255,high
0,1,0,240,medium
0,0,0,255,low
0,0,0,255,medium
1,1,1,255,high
0,0,0,255,medium
1,0,0,255,low
1,1,1,248,low
1,0,0,255,medium
1,0,0,255,high
1,1,1,255,low
1,0,1,250,high
0,1,1,255,low
0,0,1,255,medium
0,1,1,255,high
1,0,0,255,medium
1,0,0,255,high
1,1,1,255,low
1,0,1,250,low
1,0,0,245,medium
0,0,1,250,medium
0,0,0,255,medium
0,1,1,255,high
1,0,0,255,medium
1,0,0,255,low
1,1,1,255,low
1,0,1,250,low
1,0,0,245,medium
0,1,1,250,high
0,0,0,255,medium
0,1,1,255,low
1,1,1,245,high
1,0,0,246,medium
0,1,0,253,high
0,0,0,246,low
0,0,1,240,medium
0,0,0,245,medium
1,0,0,255,high
0,1,0,240,medium
0,0,0,255,low
0,0,0,255,medium
1,1,1,255,high
0,0,0,255,medium
1,0,0,255,low
1,1,1,248,low
1,1,1,255,high
0,0,1,250,low
0,0,0,247,medium
0,0,0,255,low
1,1,0,245,high
1,1,1,255,low
0,0,0,255,medium
1,1,1,255,low
0,0,0,255,medium
1,1,1,255,high
1,0,1,250,low
0,1,1,250,low
1,0,1,255,low
1,1,0,247,medium
1,1,0,245,medium
0,1,1,255,low
0,1,1,255,high
1,0,1,255,low
0,0,0,255,low
1,0,0,255,medium
1,0,0,255,high
1,1,1,255,low
1,0,1,250,high
0,1,1,255,low
0,0,1,255,medium
0,1,1,255,high
1,0,0,255,medium
1,0,0,255,high
1,1,1,255,low
1,0,1,250,low
1,0,0,245,medium
0,0,1,250,medium
0,0,0,255,medium
0,0,0,255,medium
1,1,1,245,high
1,0,0,246,low
0,1,0,253,high
0,0,0,246,low
1,0,0,245,medium
0,1,1,250,high
0,0,0,255,medium
0,1,1,255,low
1,1,1,245,high
1,0,0,246,medium
0,1,0,253,high
0,0,0,246,low
0,0,0,255,low
1,1,0,245,high
1,1,1,255,low
0,0,0,255,medium
1,1,1,255,low
0,0,0,255,medium
1,1,1,255,high
1,0,1,250,low
0,1,1,250,low
1,0,1,255,low
1,1,0,247,medium
1,1,0,245,medium
0,1,1,255,low
0,1,1,255,high
1,0,1,255,low
0,0,0,255,low
1,0,0,255,medium
1,0,0,255,high
1,1,1,255,low
1,0,1,250,high
0,1,1,255,low
0,0,1,255,medium
0,1,1,255,high
1,0,0,255,medium
1,0,0,255,high
1,1,1,255,low
1,0,1,250,low
1,0,0,245,medium
0,0,1,250,medium
0,0,0,255,medium
0,0,0,255,medium
1,1,1,245,high
1,0,0,246,low
0,1,0,253,high
0,0,0,246,low
1,0,0,245,medium
0,1,1,250,high
0,0,0,255,medium
0,1,1,255,low
1,1,1,245,high
1,0,0,246,medium
0,1,0,253,high
0,0,0,246,low
0,0,1,240,medium
0,0,0,245,medium
1,0,0,255,high
0,1,0,240,medium
0,0,0,255,low
0,0,0,255,medium
1,1,1,255,high
0,0,0,255,medium
1,0,0,255,low
1,1,1,248,low
1,1,1,255,high
0,0,1,250,low
0,0,0,247,medium
0,0,0,255,low
1,1,0,245,high
1,1,1,255,low
0,0,0,255,medium
1,1,1,255,low
0,0,0,255,medium
1,1,1,255,high
1,0,1,250,low
0,1,1,250,low
1,0,1,255,low
1,1,0,247,medium
1,1,0,245,medium
0,1,1,255,low
0,1,1,255,high
1,0,1,255,low
0,0,0,255,low
1,0,0,255,medium
1,0,0,247,medium
1,1,0,245,low
0,1,1,255,high
0,1,0,255,medium
0,0,0,255,low
0,0,0,255,medium
1,1,1,255,high
0,0,0,255,medium
1,0,0,255,low
1,1,1,248,low
1,1,1,255,high
0,0,1,250,low
0,0,0,247,medium
0,0,0,255,medium
1,1,0,245,high
1,1,1,255,low
0,0,0,255,medium
1,1,1,255,high
1,0,1,250,low
1,0,0,250,medium
1,0,1,255,low
1,1,0,247,medium
1,0,0,255,high
1,1,1,255,low
1,0,0,250,high
0,1,1,255,low
0,0,1,255,low
0,1,1,255,high
1,0,0,255,medium
1,0,0,255,low
1,1,1,255,low
1,0,1,250,low
1,0,0,245,medium
0,1,1,250,high
0,0,0,255,medium
0,1,1,255,low
1,1,1,245,high
1,0,0,246,low
0,1,0,253,high
0,0,0,246,low
0,0,1,240,medium
0,0,0,245,medium
1,0,0,255,high
0,1,0,240,medium
0,0,0,255,low
0,0,0,255,medium
1,1,1,255,high
0,0,0,255,medium
1,0,1,255,high
1,1,1,248,low
1,0,0,255,medium
1,0,0,255,high
1,1,1,255,low
1,0,1,250,high
0,0,0,255,medium
1,1,1,255,high
0,0,0,255,medium
1,0,0,255,low
1,1,1,248,low
1,1,1,255,high
0,0,1,250,low
0,0,0,247,medium
0,0,0,255,low
1,1,0,245,high
1,1,1,255,low
0,0,0,255,medium
1,1,1,255,low
0,0,0,255,medium
1,1,1,255,high
1,0,1,250,low
0,1,1,250,low
1,0,1,255,low
1,1,0,247,medium
1,1,0,245,medium
0,1,1,255,low
0,1,1,255,high
1,0,1,255,low
0,0,0,255,low
1,0,0,255,medium
1,0,0,247,medium
1,1,0,245,low
0,1,1,255,high
0,1,0,255,medium
0,0,0,255,low
0,0,0,255,medium
1,1,1,255,high
0,0,0,255,medium
1,0,0,255,low
1,1,1,248,low
1,1,1,255,high
0,0,1,250,low
0,0,0,247,medium
0,0,0,255,medium
1,1,0,245,high
1,1,1,255,low
0,0,0,255,medium
1,1,1,255,high
1,0,1,250,low
1,0,0,250,medium
1,0,1,255,low
1,1,0,247,medium
1,0,0,255,high
1,1,1,255,low
1,0,0,250,high
0,1,1,255,low
0,0,1,255,low
0,1,1,255,high
1,0,0,255,medium
1,0,0,255,low
1,1,1,255,low
1,0,1,250,low
1,0,0,245,medium
0,1,1,250,high
0,0,0,255,medium
0,1,1,255,low
1,1,1,245,high
1,0,0,246,low
0,1,0,253,high
0,0,0,246,low
0,0,1,240,medium
0,0,0,245,medium
1,0,0,255,high
0,1,0,240,medium
0,0,0,255,low
0,0,0,255,medium
1,1,1,255,high
0,0,0,255,medium
1,0,0,255,high
1,1,1,255,low
1,0,1,250,low
0,1,1,255,low
0,0,1,255,medium
0,1,1,255,high
1,0,0,255,medium
1,0,0,255,low
1,1,1,255,low
1,0,1,250,low
1,0,0,245,medium
0,0,0,255,medium
1,1,1,255,high
1,0,1,250,low
0,1,1,250,low
1,0,1,255,low
1,1,0,247,medium
1,1,0,245,medium
0,1,1,255,low
0,1,1,255,low
1,0,1,255,low
0,0,0,255,medium
1,0,0,255,medium
1,0,0,255,high
1,1,1,255,low
1,0,1,250,low
0,1,1,255,low
0,0,1,255,medium
0,1,1,255,high
1,0,0,255,medium
1,0,0,255,low
1,1,1,255,low
1,0,1,250,low
1,0,0,245,medium
0,1,1,250,high
0,0,0,255,medium
0,1,1,255,low
1,1,1,245,high
1,0,0,246,medium
0,1,0,253,high
0,0,0,246,low
0,0,1,240,medium
0,0,0,245,medium
1,0,0,255,high
0,1,0,240,medium
0,0,0,255,low
0,0,0,255,medium
1,1,1,255,high
0,0,0,255,medium
1,0,0,255,low
1,1,1,248,low
1,0,0,255,medium
1,0,0,255,high
1,1,1,255,low
1,0,1,250,high
0,1,1,255,low
0,0,1,255,medium
0,1,1,255,high
1,0,0,255,medium
1,0,0,255,high
1,1,1,255,low
1,0,1,250,low
1,0,0,245,medium
0,0,1,250,medium
0,0,0,255,medium
0,1,1,255,high
1,0,0,255,medium
1,0,0,255,low
1,1,1,255,low
1,0,1,250,low
1,0,0,245,medium
0,1,1,250,high
0,0,0,255,medium
0,1,1,255,low
1,1,1,245,high
1,0,1,250,low
0,1,1,250,low
1,0,1,255,low
1,1,0,247,medium
1,1,0,245,medium
0,1,1,255,low
0,1,1,255,high
1,0,1,255,low
0,0,0,255,low
1,0,0,255,medium
1,0,0,247,medium
1,1,0,245,low
0,1,1,255,high
0,1,0,255,low
0,0,0,255,low
0,0,0,255,medium
1,1,1,255,high
0,0,0,255,medium
1,0,0,255,low
1,1,1,248,low
1,1,1,255,high
0,0,1,250,medium
0,0,0,247,medium
0,0,0,255,medium
1,1,0,245,high
1,1,1,255,low
0,0,0,255,medium
1,1,1,255,high
1,0,1,250,low
0,1,1,250,low
1,0,1,255,low
1,1,0,247,medium
1,1,0,245,medium
0,1,1,255,low
0,1,1,255,low
1,0,1,255,low
0,0,0,255,medium
1,0,0,255,medium
1,0,0,255,high
1,1,1,255,low
1,0,1,250,low
0,1,1,255,low
0,0,1,255,medium
0,1,1,255,high
1,0,0,255,medium
1,0,0,255,low
1,1,1,255,low
1,0,1,250,low
1,0,0,245,medium
0,0,0,255,medium
1,1,1,255,high
1,0,1,250,low
0,1,1,250,low
1,0,1,255,low
1,1,0,247,medium
1,1,0,245,medium
0,1,1,255,low
0,1,1,255,low
1,0,1,255,low
0,0,0,255,medium
1,0,0,255,medium
1,0,0,255,high
1,1,1,255,low
1,0,1,250,low
0,1,1,255,low
0,0,1,255,medium
0,1,1,255,high
1,0,0,255,medium
1,0,0,255,low
1,1,1,255,low
1,0,1,250,low
1,0,0,245,medium
0,1,1,250,high
0,0,0,255,medium
0,1,1,255,low
1,1,1,245,high
1,0,0,246,medium
0,1,0,253,high
0,0,0,246,low
0,0,1,240,medium
0,0,0,245,medium
1,0,0,255,high
0,1,0,240,medium
0,0,0,255,low
0,0,0,255,medium
1,1,1,255,high
0,0,0,255,medium
1,0,0,255,low
1,1,1,248,low
1,0,0,255,medium
1,0,0,255,high
0,0,0,255,medium
1,0,1,250,high
0,1,1,255,low
0,0,1,255,medium
0,1,1,255,high
1,0,0,255,medium
1,0,0,255,high
1,1,1,255,low
1,0,1,250,low
1,0,0,245,medium
0,1,1,250,high
0,0,0,255,medium
0,1,1,255,high
1,0,0,255,medium
1,0,0,255,low
1,1,1,255,low
1,0,1,250,low
1,0,0,245,medium
0,1,1,250,high
0,0,0,255,medium
0,1,1,255,low
1,1,1,245,high
1,0,0,246,medium
0,1,0,253,high
0,0,0,246,low
0,0,1,240,medium
0,1,1,245,low
1,0,0,255,high
0,1,0,240,medium
0,0,0,255,low
0,0,0,255,medium
1,1,1,255,high
0,0,0,255,medium
1,0,0,255,low
1,1,1,248,low
1,1,1,255,high
0,0,1,250,low
0,0,0,247,medium
0,0,0,255,low
1,1,0,245,high
1,0,0,255,medium
1,1,1,248,low
1,1,1,255,high
0,0,1,250,low
0,0,0,247,medium
0,0,0,255,medium
1,1,0,245,high
1,1,1,255,low
0,0,0,255,medium
1,1,1,255,high
1,0,1,250,low
1,0,0,250,medium
1,0,1,255,low
1,1,0,247,medium
1,0,0,255,high
1,1,1,255,low
1,0,0,250,high
0,1,1,255,low
0,0,1,255,low
0,1,1,255,high
1,0,0,255,medium
1,0,0,255,low
1,1,1,255,high
1,0,1,250,low
1,0,0,245,medium
0,1,1,250,high
0,0,0,255,medium
0,1,1,255,low
1,1,1,245,high
1,0,0,246,low
1,0,0,255,high
0,1,0,240,medium
0,0,0,255,low
0,0,0,255,medium
1,1,1,255,high
0,0,0,255,medium
1,0,0,255,high
1,1,1,255,low
0,0,0,250,medium
0,1,1,255,low
0,0,1,255,medium
0,1,1,255,high
1,0,0,255,medium
1,0,0,255,low
1,1,1,255,low
1,0,1,250,low
1,0,0,245,medium
0,0,0,255,medium
1,1,1,255,high
1,0,1,250,low
0,0,0,250,medium
1,0,1,255,low
1,1,0,247,medium
1,1,0,245,medium
0,1,1,255,low
0,1,1,255,low
1,0,0,247,medium
1,1,0,245,low
0,1,1,255,high
0,1,0,255,low
0,0,0,255,low
0,0,0,255,medium
1,1,1,255,high
0,0,0,255,medium
1,0,0,255,low
1,1,1,248,low
1,1,1,255,high
0,0,1,250,medium
0,0,0,247,medium
0,1,1,255,high
1,1,0,245,high
1,1,1,255,low
0,0,0,255,medium
1,1,1,255,high
1,0,1,250,low
0,1,1,250,low
1,0,1,255,low
1,1,0,247,medium
1,1,0,245,medium
0,1,1,255,low
0,1,1,255,low
1,0,1,255,medium
1,0,1,250,low
1,0,0,245,medium
0,1,1,250,high
0,0,0,255,medium
0,1,1,255,low
1,1,1,245,high
1,0,0,246,medium
0,1,0,253,high
0,0,0,246,low
0,0,1,240,medium
0,0,0,245,medium
1,0,0,255,high
0,1,0,240,medium
0,0,0,255,low
1,1,0,255,high
1,1,1,255,high
0,0,0,255,medium
1,0,0,255,low
1,1,1,248,low
1,0,0,255,medium
1,0,0,255,high
1,1,1,255,low
1,0,1,250,high
0,1,1,255,low
1,0,0,250,medium
1,0,1,255,low
1,1,0,247,medium
1,0,0,255,high
1,1,1,255,low
1,0,0,250,high
0,1,1,255,low
0,0,1,255,low
0,1,1,255,high
1,0,0,255,medium
1,0,0,255,low
1,1,1,255,low
1,0,1,250,low
1,0,0,245,medium
0,1,1,250,high
0,0,0,255,medium
0,1,1,255,low
1,1,1,245,high
1,0,0,246,medium
0,1,0,253,high
0,0,0,246,low
0,0,1,240,medium
0,0,0,245,medium
1,0,0,255,high
0,1,0,240,medium
0,0,0,255,low
0,0,0,255,medium
1,1,1,255,high
0,0,0,255,medium
1,0,0,255,high
1,1,1,255,low
0,0,1,250,medium
0,1,1,255,low
0,0,1,255,medium
0,1,1,255,high
1,0,0,255,medium
1,0,0,255,low
1,1,1,255,low
1,0,1,250,low
1,0,0,245,medium
0,0,0,255,medium
1,1,1,255,low
1,0,1,250,low
1,0,0,245,medium
0,1,1,250,high
0,0,0,255,medium
0,1,1,255,high
1,0,0,255,medium
1,0,0,255,low
1,1,1,255,low
1,0,1,250,low
1,0,0,245,medium
0,1,1,250,high
0,0,0,255,medium
0,1,1,255,low
1,1,1,245,high
1,0,0,246,medium
0,1,0,253,high
0,0,0,246,low
0,0,1,240,medium
0,1,1,245,low
1,0,0,255,high
0,1,0,240,medium
0,0,0,255,low
0,0,0,255,medium
1,1,1,255,high
0,0,0,255,medium
1,0,0,255,low
1,1,1,248,low
1,1,1,255,high
0,0,1,250,low
0,0,0,247,medium
0,0,0,255,low
1,1,0,245,high
1,0,0,255,medium
1,1,1,248,low
1,1,1,255,high
0,0,1,250,low
0,0,0,247,medium
0,0,0,255,medium
1,1,0,245,high
1,1,1,255,low
0,0,0,255,medium
1,1,1,255,high
1,0,1,250,low
1,0,0,250,medium
1,0,1,255,low
1,1,0,247,medium
1,0,0,255,high
1,1,1,255,low
1,0,0,250,high
0,1,1,255,low
